Periodo,P,U,BYM,E,R,W,PUSA
1969/01,0.011594842,,,0.0125,,242.8355,35.6
1969/02,0.011636458,,,0.0125,,241.9799,35.8
1969/03,0.011647943,,,0.0125,,241.7306,36.1
1969/04,0.011679513,,,0.0125,,241.0683,36.3
1969/05,0.011679513,,,0.0125,,241.0683,36.4
1969/06,0.011721134,,,0.0125,,240.2251,36.6
1969/07,0.011765624,,,0.0125,,239.3063,36.8
1969/08,0.011778545,,,0.0125,,239.0422,37
1969/09,0.011889051,,,0.0125,,236.8305,37.1
1969/10,0.012013913,,,0.0125,,234.3664,37.3
1969/11,0.012015348,,,0.0125,,234.3469,37.5
1969/12,0.012105764,,,0.0125,,232.5853,37.7
1970/01,0.012197615,,,0.0125,,266.9612,37.8
1970/02,0.01219618,,,0.0125,,267.005,38
1970/03,0.01223206,,,0.0125,,266.2192,38.2
1970/04,0.012247846,,,0.0125,,265.8714,38.5
1970/05,0.012273681,,,0.0125,,265.3082,38.6
1970/06,0.012348312,,,0.0125,,263.7182,38.8
1970/07,0.012408588,,,0.0125,,262.4218,39
1970/08,0.012465993,,,0.0125,,261.2219,39
1970/09,0.012496134,,,0.0125,,260.5948,39.2
1970/10,0.012500439,,,0.0125,,260.5114,39.4
1970/11,0.012567895,,,0.0125,,259.1019,39.6
1970/12,0.012674096,,,0.0125,,256.9349,39.8
1971/01,0.012798958,,,0.0125,,254.4256,39.8
1971/02,0.012852058,,,0.0125,,253.3763,39.9
1971/03,0.012900854,,,0.0125,,252.414,40
1971/04,0.012966875,,,0.0125,,251.1292,40.1
1971/05,0.012994145,,,0.0125,,250.6074,40.3
1971/06,0.013052986,,,0.0125,,249.4747,40.6
1971/07,0.013042941,,,0.0125,,249.6659,40.7
1971/08,0.013162057,,,0.0125,,247.4087,40.8
1971/09,0.013205113,,,0.0125,,246.603,40.8
1971/10,0.013218033,,,0.0125,,246.3605,40.9
1971/11,0.013239558,,,0.0125,,245.9511,40.9
1971/12,0.013302709,,,0.0125,,244.7863,41.1
1972/01,0.01336155,,,0.0125,,289.9511,41.1
1972/02,0.01340317,,,0.0125,,289.0641,41.3
1972/03,0.013476366,,,0.0125,,287.4982,41.4
1972/04,0.013561042,,,0.0125,,285.6962,41.5
1972/05,0.013588308,,,0.0125,,285.1285,41.6
1972/06,0.013688769,,,0.0125,,283.0248,41.7
1972/07,0.01374044,,,0.0125,,281.9742,41.9
1972/08,0.013830856,,,0.0125,,280.119,42
1972/09,0.013894001,,,0.0125,,278.8489,42.1
1972/10,0.013904047,,,0.0125,,278.6483,42.3
1972/11,0.013994463,,,0.0125,,276.8562,42.4
1972/12,0.014041828,,,0.0125,,275.9099,42.5
1973/01,0.014245621,,,0.0125,,271.9589,42.6
1973/02,0.014363307,,,0.0125,,269.7435,42.9
1973/03,0.014489604,,,0.0125,,267.3793,43.3
1973/04,0.014719232,,,0.0125,,263.2194,43.6
1973/05,0.014875669,,,0.0125,,260.4414,43.9
1973/06,0.014997655,,,0.0125,,258.3229,44.2
1973/07,0.015382285,,,0.0125,,251.874,44.3
1973/08,0.015629139,,,0.0125,,247.8934,45.1
1973/09,0.016000848,,,0.0125,,285.6306,45.2
1973/10,0.016206081,,,0.0125,,282.0175,45.6
